id;nome_job;valor_hora;tempo_evento;observacao;data_pagamento;tipo_pagamento;status_pagamento;agencia_id
1;mobile Fish;77969;59865;Table Computer;2019-11-12T17:21:12;CARTAO;true;1
2;Tasty Metal Bacon;93855;21233;Chips;2019-11-12T14:20:44;TRANSFERENCIA;false;2
3;Namibia;39986;13949;zero administration;2019-11-12T09:57:17;CARTAO;true;3
4;syndicate;98323;59241;Refined Rubber Chicken Table;2019-11-12T17:11:10;CARTAO;true;4
5;envisioneer Music Public-key;24102;44015;Rubber Buckinghamshire Games;2019-11-11T20:55:26;DINHEIRO;false;5
6;sky blue Georgia;3131;96958;connect Markets Chief;2019-11-12T04:23:52;DINHEIRO;true;6
7;navigating;74732;27134;generating compelling;2019-11-12T12:00:18;CARTAO;false;7
8;Industrial;42340;77224;orange Books;2019-11-11T23:10:35;CARTAO;true;8
9;Checking Account Identity deposit;91495;86310;Investment Account archive Fantastic Plastic Chicken;2019-11-12T10:56:35;CARTAO;true;9
10;embrace Developer;84891;76078;Idaho compress Avon;2019-11-12T06:12:07;DINHEIRO;true;10
